"Dzień dobry! (rano)","Guten Morgen!"
"Dzień dobry!","Guten Tag!"
"Dobry wieczór!","Guten Abend!"
"Dobranoc!","Gute Nacht!"
"Do widzenia!","Auf Wiedersehen!"
"Cześć! (powitanie)","Hallo!"
"Cześć! / Pozdrawiam cię!","Grüß dich!"
"Serwus!","Servus! (A)"
"Witam!","Grüezi! (CH)"
"Cześć (pożegnanie)","Tschüs!"
"Na razie! (1)","Bis dann!"
"Na razie! (2)","Bis gleich!"
"Na razie! (3)","Bis dahin!"
"Przepraszam! (1)","Entschuldigung!"
"Przepraszam pana! (1)","Entschuldigen Sie!"
"Przepraszam! (2)","Verzeihung!"
"Jak leci?","Wie geht's?"
"Dziękuję, dobrze.","Danke, gut."
"Proszę (bardzo)!","Bitte (schön)!"
"Dziękuję (bardzo)!","Danke (schön)!"
"Nie ma za co! (1)","Keine Ursache!"
"Nie ma za co! (2)","Gern geschehen!"
"Na zdrowie!","Gesundheit!"
"Za pomyślność! (toast)","Zum Wohl!"
"No to chlup! (toast)","Prost!"
"Za przyszłość! (toast)","Auf die Zukunft!"
"Szczęść Boże!","Grüß Gott!"
"Szerokiej drogi!","Gute Reise!"
"Dobrej zabawy! (1)","Viel Spaß!"
"Dobrej zabawy! (2)","Viel Vergnügen!"
"Trzymaj się! / Sprawuj się dobrze!","Mach's gut!"
"Do piątku!","Bis Freitag!"
"Kocham cię.","Ich liebe dich."
"Poprosze ...","Ich möchte ..."
"Czy tu jest wolne?","Ist da frei?"
"Niech pan siada!","Setzen Sie sich!"
"Wejść!","Herein!"
"Przykro mi.","Es tut mir leid."
"Miło mi!","Angenehm!"
"Nie rozumiem!","Ich verstehe nicht!"
"Niech pan powtórzy!","Wiederholen Sie!"
"Nie wiem.","Ich weiß nicht."
"Ile kosztuje ... ?","Wie viel kostet ... ?"
"Ma pan ognia?","Haben Sie Feuer?"
"matka","die Mutter"
"ojciec","der Vater"
"mamusia","die Mutti"
"tatuś","der Vati"
"brat","der Bruder"
"siostra","die Schwester"
"syn","der Sohn"
"córka","die Tochter"
"ojczym","der Stiefvater"
"macocha","die Stiefmutter"
"babka","die Großmutter"
"dziadek","der Großvater"
"babcia","die Oma"
"dziadziuś","der Opa"
"wujek","der Onkel"
"ciocia","die Tante"
"chrzestny","der Pate"
"chrzestna","die Patin"
"kuzyn","der Cousin"
"kuzynka","die Kusine"
"bratanek/siostrzeniec","der Neffe"
